"","author","row_num"
"664","LEWIS L",288
"665","CLEARY T",288
"666","SERRAT J",289
"667","GARCA R",289
"668","GRAMPN E",289
"669","GALIS A",289
"670","BAYVEL P",289
"671","DSER M",289
"672","TODD C",289
"673","BALEMANS H",289
"674","VERHOEF W",289
"675","SNCHEZ J",289
"676","RAPTIS L",289
"677","MAYERSOHN B",289
"678","KATSANOU N",289
"679","KARAYANNIS F",289
"680","LOZANO JA",289
"681","CHRONIS D",289
"682","JOSEF D",289
"683","SILVA N",289
"684","LOPES RP",290
"685","OLIVEIRA JL",290
"686","STILLER B",291
"687","GERKE J",291
"688","REICHL P",291
"689","FLURY P",291
"690","BRUNNER M",292
"691","QUITTEK J",292
"692","PARK YW",293
"693","CHUNG KD",293
"694","AVERSANO L",294
"695","CANFORA G",294
"696","STEFANUCCI S",294
"697","ANDRITSOS P",295
"698","MILLER RJ",295
"699","NOMURA T",296
"700","MAHER C",297
"701","CORBIT M",297
"702","TUROWIEC A",298
"703","GALIS L",298
"704","ORIHATA M",299
"705","MAGNUSSON T",300
"706","JOHANSSON G",300
"707","NEIL JC",301
"708","DWIVEDI P",302
"709","CARIO J",303
"710","BURGESS J",303
"711","KERA K",304
"712","BEKKI K",304
"713","KAMIJYO K",304
"714","MORI K",304
"715","MUELLER G",305
"716","BIRD I",306
"717","HESS B",306
"718","KOWALSKI A",306
"719","MIDLER C",307
"720","LENFLE S",307
"721","BHUSHAN B",308
"722","TSCHICHHOLZ M",308
"723","LERAY E",308
"724","DONNELLY W",308
"725","NAKAHARA T",309
"726","PAT-CORNELL ME",310
"727","PAT-CORNELL ME",311
"728","FELGER TR",312
"729","GURTOO A",313
"730","TRIPATHY A",313
"731","MORGAN MG",314
"732","COLLEAGUES",314
"733","NAGARAJ SV",315
"734","DE NEUFVILLE R",316
"735","CHANARON JJ",317
"736","CABRERA JBD",318
"737","LEWIS L",318
"738","QIN X",318
"739","LEE W",318
"740","PRASANTH RK",318
"741","RAVICHANDRAN B",318
"742","MEHRA RK",318
"743","KHAMBA JS",319
"744","SINGH TP",319
"745","YETTON PW",320
"746","JOHNSTON KD",320
"747","HUH Y",321
"748","KIM C",321
"749","ALLINSON RE",322
"750","MINH HN",323
"751","VAN AS HR",323
"752","DU X",324
"753","SHAYMAN M",324
"754","ROZENBLIT M",324
"755","BANTA D",325
"756","DONG CSJ",326
"757","LOO GSL",326
"758","IRANI Z",327
"759","SHARIF AM",327
"760","LOVE PED",327
"761","CLEMM A",328
"762","BETTADAPUR P",328
"763","BAUMANN P",329
"764","JACKSON P",330
"765","CURTHOYS N",330
"766","DOMNGUEZ-VARGAS G",331
"767","CAMACHO-VELZQUEZ R",331
"768","BYRD TA",332
"769","TURNER DE",332
"770","OSEGOWITSCH T",333
"771","MADHOK A",333
"772","TIDD J",334
"773","WEISENFELD U",335
"774","REEVES JC",335
"775","HUNCK-MEISWINKEL A",335
"776","BOER H",336
"777","CAFFYN S",336
"778","CORSO M",336
"779","COUGHLAN P",336
"780","GIESKES J",336
"781","MAGNUSSON M",336
"782","PAVESI S",336
"783","RONCHI S",336
"784","GUIMARAES TA",337
"785","BORGES-ANDRADE JE",337
"786","DOS SANTOS MACHADO M",337
"787","VARGAS MRM",337
"788","PHAAL R",338
"789","FARRUKH CJP",338
"790","PROBERT DR",338
"791","CHAU PYK",339
"792","HU PJH",339
"793","MILLER WL",340
"794","JONES O",341
"795","CRAVEN M",341
"796","NA NA",342
"797","SAWHNEY M",343
"798","PRANDELLI E",343
"799","VAN ZYL J",344
"800","TEMPONI C",345
"801","LAMBERT T",345
"802","BARON RA",346
"803","PETERS L",346
"804","JIN C",347
"805","WANG A",347
"806","KAMEOKA A",348
"807","ITO H",348
"808","KOBAYASHI K",348
"809","HEUSALA HH",349
"810","JIN C",350
"811","WANG A",350
"812","GONG Y",350
"813","HEISS M",351
"814","JANKOWSKY J",351
"815","SOUITARIS V",352
"816","KAPPEL TA",353
"817","MELLO S",354
"818","BRUNNER GF",355
"819","HRD M",356
"820","KNIE A",356
"821","BOER H",357
"822","DURING WE",357
"823","SALO AA",358
"824","PEISSL W",359
"825","HAMILTON WF",360
"826","CHANDRA C",361
"827","KUMAR S",361
"828","KARIMI J",362
"829","SOMERS TM",362
"830","GUPTA YP",362
"831","BASSELLIER G",363
"832","REICH BH",363
"833","BENBASAT I",363
"834","BENAMATI J",364
"835","LEDERER AL",364
"836","MAGNUSSON T",365
"837","BERGGREN C",365
"838","STEVENS R",366
"839","MEDHI D",367
"840","JAIN S",367
"841","SHENOY RAMAM D",367
"842","THIRUMALASETTY SR",367
"843","SADDI M",367
"844","SUMMA F",367
"845","POOLE DL",368
"846","DAVIS JK",368
"847","REISMAN J",368
"848","NELSON JE",368
"849","ALADWANI AM",369
"850","RAUNER MS",370
"851","SCHAFFHAUSER-LINZATTI MM",370
"852","KUBOTA F",371
"853","ANO S",371
"854","HASEGAWA T",371
"855","KATO T",371
"856","EGAWA T",371
"857","HINO K",371
"858","NEELY III",372
"859","DE NEUFVILLE R",372
"860","CHEN G",373
"861","KONG Q",373
"862","ESTEVEZ-REYES L",374
"863","SIROCKMAN R",374
"864","HORSTEDT F",375
"865","MYERS DD",376
"866","BETZ F",376
"867","WALSH ST",376
"868","NYSTROM HE",376
"869","MERINO DN",377
"870","GOLDBERG JR",378
"871","HENDEE WR",378
"872","KROGULL SR",378
"873","DOS SANTOS PJP",379
"874","GARCIA KC",379
"875","DE CARVALHO DOCKHORN N",379
"876","DUARTE F",379
"877","BONHOURE PD",380
"878","DEJEAN PH",380
"879","GALUP SD",381
"880","DATTERO R",381
"881","AUER D",382
"882","DOBLER H",382
"883","ESTVEZ-REYES L",383
"884","SIROCKMAN R",383
"885","DVILA CE",384
"886","SPYROPOULOS B",385
"887","GOLDBERG JR",386
"888","CRUZ AM",387
"889","DENIS ER",387
"890","SNCHEZ MC",387
"891","SENRA JA",387
"892","CRISTO EB",387
"893","HELLER T",388
"894","TURK R",389
"895","WRIGHT M",390
"896","ROBBIE K",390
"897","CHIPLIN B",390
"898","ALBRIGHTON M",390
"899","SOBRERO M",391
"900","LOSIEWICZ P",392
"901","OARD DW",392
"902","KOSTOFF RN",392
"903","PAOLUCCI E",393
"904","DOOLEY L",394
"905","O'SULLIVAN D",394
"906","KIDSON C",395
"907","INDARATNA K",395
"908","LOOAREESUWAN S",395
"909","MIYAZAKI K",396
"910","KIJIMA K",396
"911","KOLLMANN T",397
"912","QUINN C",398
"913","BUEHLER M",399
"914","HHLE J",400
"915","TUNNEY J",401
"916","NAKAHARA T",402
"917","BOSWELL AJ",403
"918","TRAN K",403
"919","ZAIRI M",404
"920","JIANYAN S",405
"921","YEO KT",405
"922","TANG HK",405
"923","ROSS VE",406
"924","BNECH D",407
"925","JOCTEUR-MONROZIER F",407
"926","RIVIRE AI",407
"927","MUKAIYAMA H",408
"928","JGLE A",409
"929","DURRANI TS",409
"930","VOTE JH",410
"931","TANAKA Y",411
"932","FUJIMA J",411
"933","MEIJER BR",412
"934","PHAAL R",413
"935","FARRUKH CJP",413
"936","PROBERT DR",413
"937","DEGREGORIO G",414
"938","THOMPSON JS",415
"939","WEN J",416
"940","KOBAYASHI S",416
"941","LYMAN P",417
"942","ACOSTA J",418
"943","TURRENT G",418
"944","OLN M",418
"945","GONZLEZ R",418
"946","KNUUTILA J",419
"947","NUMMELA A",419
"948","BOBROWSKI PE",420
"949","SNYDER KD",421
"950","MCLAUGHLIN CP",422
"951","SIMPSON KN",422
"952","LIPPERTS S",423
"953","RAFFAET A",424
"954","RENSO C",424
"955","WASSENAAR A",425
"956","REZAGHOLI M",426
"957","FREY M",426
"958","AICHHOLZER G",427
"959","SCHMUTZER R",427
"960","ZAHOPOULOS C",428
"961","WEEDON D",428
"962","HOUGHTON AJN",429
"963","SIEMINSKI D",430
"964","KURUPPUARACHCHI PR",431
"965","ANTELME RG",432
"966","MOULTRIE J",432
"967","PROBERT DR",432
"968","MATTHEWS C",433
"969","SWATMAN PA",433
"970","XU Q",434
"971","ZHAO X",434
"972","SHAOHUA W",434
"973","CHIN J",434
"974","CRABTREE EA",435
"975","BOWER DJ",435
"976","KEOGH W",435
"977","JAMES KE",436
"978","LIN B",436
"979","TAN J",436
"980","PHAAL R",437
"981","FARRUKH CJP",437
"982","PROBERT DR",437
"983","UNGUREANU V",438
"984","VESUMA F",438
"985","MINSKY NH",438
"986","CARLSHAMRE P",439
"987","REGNELL B",439
"988","BARNES A",440
"989","GRAY J",440
"990","KEHR R",441
"991","ROHS M",441
"992","VOGT H",441
"993","KINGSTON G",442
"994","JEFFERY R",442
"995","HUANG W",442
"996","PORTOUGAL V",443
"997","ZAROUR N",444
"998","SEINTURIER L",444
"999","BOUFAIDA M",444
"1000","ESTRAILLIER P",444
"1001","ATHERTON A",445
"1002","HANNON PD",445
"1003","WADHWA S",446
"1004","SRINIVASA RAO K",446
"1005","AGUILAR-RAZO R",447
"1006","RODRGUEZ-DAZ AJ",448
"1007","BASADUR M",449
"1008","POTWOROWSKI JA",449
"1009","POLLICE N",449
"1010","FEDOROWICZ J",449
"1011","GUPTA A",450
"1012","TEICH J",451
"1013","WALLENIUS H",451
"1014","WALLENIUS J",451
"1015","ZAITSEV A",451
"1016","HAYNE SC",452
"1017","POLLARD CE",452
"1018","LEE-PARTRIDGE JE",453
"1019","TEO TSH",453
"1020","LIM VKG",453
"1021","MCCLURE CR",454
"1022","BERTOT JC",454
"1023","UPTON DM",455
"1024","MCAFEE AP",455
"1025","TUMMALA VMR",456
"1026","LEE HYH",456
"1027","YAM RCM",456
"1028","WESTERBACK LK",457
"1029","CORSO M",458
"1030","PAVESI S",458
"1031","SLAUGHTER ES",459
"1032","STEIN J",460
"1033","JONES O",461
"1034","LIBUTTI L",462
"1035","WANG CC",463
"1036","KHONG PW",464
"1037","LIM KS",464
"1038","KARIMI J",465
"1039","BHATTACHERJEE A",465
"1040","GUPTA YP",465
"1041","SOMERS TM",465
"1042","IRANI Z",466
"1043","LOVE PED",466
"1044","SIVADAS E",467
"1045","DWYER FR",467
"1046","FARRUKH C",468
"1047","PHAAL R",468
"1048","PROBERT D",468
"1049","GREGORY M",468
"1050","WRIGHT J",468
"1051","HOBDAY M",469
"1052","BRADY T",469
"1053","LIEVENS A",470
"1054","MOENAERT RK",470
"1055","STOCK GN",471
"1056","TATIKONDA MV",471
"1057","BENAMATI JS",472
"1058","LEDERER AL",472
